           x            y
       672.8       2201.9
       738.3       2101.7
       842.3       2043.5
       942.9       2004.9
      1043.6       1983.4
      1125.1       1998.8
      1222.7       2000.2
      1325.9       2065.4
      1430.7       1922.1
      1487.2       1868.4
      1601.1       1870.1
      1701.8       1816.9
      1802.1       1789.8
      1933.2       1753.5
      2052.5       1687.5
      2161.7       1654.2
      2200.9       1561.3
      2241.2       1473.6
      2246.4       1410.7
      2227.9       1316.2
      2274.9       1194.7
      2330.2       1079.2
      2345.4        971.0
      2386.4        900.0
      2444.4        775.5
      2449.7        656.8
      2512.8        554.2
      2632.2        399.2
      2642.2        135.5
      2665.3         -3.2
      2718.1       -103.3
      2804.6       -274.8
      2819.8       -395.5
      2809.9       -497.4
      2730.1       -564.9
      2543.7       -919.5
      2506.7      -1088.7
      2366.1      -1288.7
      2225.4      -1395.5
      2258.4      -1461.1
      2147.3      -1675.0
      2043.1      -1881.4
      1961.3      -1921.4
      1832.7      -1957.4
      1733.9      -2004.7
      1301.0      -2257.3
      1202.7      -2214.7
      1118.3      -2214.4
      1100.8      -2273.7
      1061.3      -2277.4
       844.9      -2135.0
       846.1      -2129.6
       488.8      -2074.3
       284.1      -1927.2
        98.2      -1840.0
        17.2      -1851.3
       -48.2      -1922.5
       -84.7      -1955.3
       -85.1      -1874.6
       -56.7      -1780.9
       -57.1      -1613.6
      -146.8      -1539.8
      -453.8      -1365.7
      -630.0      -1290.6
     -1069.5      -1287.7
     -1233.1      -1210.0
     -1353.6      -1189.5
     -1432.7      -1125.2
     -1606.5       -938.6
     -1894.7       -704.7
     -1957.2       -439.8
     -1998.8       -306.2
     -2072.8       -167.7
     -2078.5        -37.1
     -2089.8        108.2
     -2152.4        288.1
     -2206.2        549.8
     -2279.7        615.8
     -2294.3        703.8
     -2382.9        820.2
     -2488.1        942.5
     -2500.8       1027.6
     -2565.5       1113.6
     -2594.8       1247.4
     -2611.8       1346.1
     -2631.1       1492.5
     -2635.5       1618.1
     -2608.5       1740.4
     -2593.3       1880.2
     -2496.3       1960.1
     -2420.6       1806.0
     -2308.6       1820.8
     -2285.6       1786.1
     -2294.9       1691.0
     -2115.4       1539.2
     -1763.5       1203.4
     -1650.1       1191.7
     -1500.1       1224.0
     -1372.8       1316.7
     -1132.7       1326.3
      -943.5       1397.2
      -780.2       1462.1
      -692.7       1564.0
      -601.1       1742.9
      -494.4       1949.2
      -351.1       2094.0
      -205.8       2145.9
       -37.0       2203.9
         6.7       2171.8
        53.0       2232.7
       175.4       2210.6
       327.9       2238.6
       424.2       2207.2
       648.1       2206.2
