           x            y
        1516         2323
        1583         2047
        1914         1977
        2330         1689
        2529         1225
        2688          825
        2888          118
        3029         -325
        3000         -655
        2800         -937
        2675        -1319
        2496        -1549
        2292        -1837
        2129        -2091
        1852        -2266
        1502        -2426
        1346        -2499
        1060        -2602
         914        -2667
         639        -2657
         454        -2543
         298        -2403
         173        -2342
        -216        -2104
        -528        -1603
        -965        -1559
       -1427        -1526
       -1760        -1509
       -2148        -1011
       -2149         -570
       -2218         -153
       -2371          288
       -2735         1132
       -2781         1781
       -2686         2163
       -2559         2333
       -2378         2532
       -2237         2478
       -2127         2451
       -1987         2414
       -1825         2317
       -1873         1806
       -1783         1558
       -1419         1572
        -826         1648
        -406         2322
         -88         2371
         302         2412
         481         2557
         641         2382
        1090         2324
        1448         2331
