           x            y
      -90031      -607526
     -141068      -663157
     -184138      -708414
     -220613      -738750
     -268916      -769107
     -309078      -794815
     -345157      -814591
     -373924      -834141
     -391963      -844928
     -418528      -864704
     -457205      -883076
     -481703      -897335
     -521073      -919157
     -541575      -935462
     -580512      -957284
     -609415      -966253
     -655342     -1000495
     -687289     -1016573
     -736953     -1047364
     -764049     -1062057
     -802021     -1098138
     -814827     -1121366
     -836554     -1179269
     -836690     -1209606
     -821682     -1239963
     -804360     -1266414
     -798025     -1282285
     -798025     -1308737
     -807787     -1344363
     -835725     -1358126
     -902154     -1344818
    -1041360     -1377448
    -1169777     -1269287
    -1293405     -1143415
    -1341263     -1031059
    -1341263      -899174
    -1353364      -756336
    -1353364      -606349
    -1288605      -448363
    -1166647      -422656
    -1013200      -433670
     -846279      -422656
     -664362      -407963
     -489881      -426107
     -386890      -468140
     -296829      -519348
     -216802      -539559
     -124464      -583431
