           x            y
     -126073      -643876
     -196065      -638380
     -233196      -667538
     -292189      -616102
     -333589      -573863
     -411017      -542844
     -449954      -533876
     -496018      -519410
     -594208      -482895
     -779701      -477377
     -902488      -482895
    -1053918      -488392
    -1193198      -477377
    -1305432      -486780
    -1312026     -1129012
    -1244496     -1152446
    -1213131     -1186688
    -1178326     -1215413
    -1140367     -1254945
    -1104028     -1272883
    -1068258     -1288960
    -1015724     -1314461
     -957126     -1269204
     -911594     -1269204
     -871692     -1288753
     -837160     -1299541
     -774554     -1404995
     -730952     -1468623
     -703856     -1536880
     -703856     -1563786
     -713618     -1686041
     -712653     -1714332
     -700825     -1817286
     -680447     -1865993
     -719384     -1931915
     -742793     -1967542
     -772228     -2065867
     -756391     -2101266
     -762849     -2142638
     -790923     -2189300
     -823129     -2241025
     -823253     -2289960
     -807985     -2305831
     -783227     -2346996
     -763691     -2386528
     -753916     -2442799
     -763691     -2512895
     -750749     -2560963
     -738784     -2644657
     -755995     -2675220
     -755995     -2707623
     -737559     -2728991
     -697917     -2786234
     -674817     -2881314
     -649787     -2953249
     -637686     -2980817
     -622554     -3029090
     -616083     -3078026
     -587762     -3124894
     -549654     -3204620
     -506325     -3242996
     -466955     -3266864
     -435454     -3293543
     -407776     -3325512
     -367750     -3343656
     -318345     -3348946
     -283801     -3359733
     -215973     -3323672
     -188295     -3312864
     -140697     -3184926
     -104928     -3092347
      -78537     -3052153
      -93668     -3016526
      -59000     -2957961
       -3694     -2935911
       55040     -2913862
      152834     -2831201
      190225     -2798364
      190225     -2747590
      323615     -2670653
      397048     -2655733
      476852     -2601508
      524982     -2539492
      558809     -2350199
      595816     -2279668
      628802     -2213974
      695936     -2176281
      737732     -2134020
      737732     -2061651
      703199     -2029475
      673764     -1978701
      692336     -1778166
      692336     -1561843
      720929     -1399002
      755029     -1228824
      735368     -1148437
      694798     -1075406
      604304      -994792
      546412      -906613
      454816      -828292
      372723      -787871
      276054      -729079
      205493      -718292
      136601      -652370
      -40651      -683388
     -131282      -637677
