           x            y
      -90031      -607526
     -141068      -663157
     -184138      -708414
     -220613      -738750
     -268916      -769107
     -309078      -794815
     -345157      -814591
     -373924      -834141
     -391963      -844928
     -418528      -864704
     -457205      -883076
     -481703      -897335
     -521073      -919157
     -541575      -935462
     -580512      -957284
     -609415      -966253
     -655342     -1000495
     -687289     -1016573
     -736953     -1047364
     -764049     -1062057
     -802021     -1098138
     -814827     -1121366
     -836554     -1179269
     -836690     -1209606
     -821682     -1239963
     -804360     -1266414
     -798025     -1282285
     -798025     -1308737
     -807787     -1344363
     -807787     -1375154
     -803382     -1432397
     -800215     -1451946
     -748484     -1533284
     -771312     -1591395
     -773514     -1665169
     -746678     -1706541
     -756440     -1774509
     -747779     -1805300
     -767316     -1877896
     -793311     -1932349
     -834054     -2011621
     -834054     -2068140
     -805152     -2109284
     -803655     -2135508
     -847380     -2192234
     -862512     -2245592
     -856053     -2293865
     -842010     -2331786
     -823575     -2373137
     -799646     -2420254
     -808443     -2468961
     -811610     -2529882
     -791109     -2586670
     -775148     -2622317
     -806909     -2673092
     -790812     -2719960
     -760535     -2767284
     -726844     -2842897
     -711700     -2920330
     -686410     -3010864
     -663446     -3099331
     -619981     -3176040
     -556583     -3278250
     -472547     -3344172
     -383723     -3400898
     -298203     -3422948
     -226799     -3407077
     -167237     -3347107
     -135464     -3263041
      -91033     -3151883
      -45241     -3062072
       13628     -2989475
       79092     -2969492
      161891     -2903364
      224448     -2842753
      266688     -2778897
      335580     -2740316
      418502     -2701734
      492899     -2659473
      531007     -2626409
      583270     -2482166
      662592     -2302586
      708383     -2238503
      757615     -2185249
      782781     -2106680
      782781     -2027409
      751552     -1955473
      728576     -1877586
      728576     -1802696
      738486     -1727826
      741777     -1637519
      738486     -1561244
      758147     -1434939
      780145     -1329278
      799942     -1231904
      796774     -1130148
      759780     -1046516
      696246      -953275
      642622      -872454
      571652      -802854
      480898      -749599
      335097      -678160
      218199      -614098
       83707      -578017
      -65384      -590870
