           x            y
      492899     -2659473
      531007     -2626409
      583270     -2482166
      662592     -2302586
      708383     -2238503
      757615     -2185249
      795364     -2173140
      889298     -2145572
      976056     -2149251
     1091011     -2178430
     1204605     -2249621
     1282034     -2291882
     1319288     -2509816
     1309390     -2641639
     1250261     -2729818
     1121980     -2799625
      901163     -2933514
      783882     -3098401
      671958     -3252047
      586425     -3376740
      491848     -3385936
      451277     -3318175
      523782     -3095384
      561172     -2983544
      543578     -2864368
      516210     -2738270
