         lon          lat
   1.144e+02    7.037e+01
   1.197e+02    7.657e+01
   1.181e+02    8.018e+01
   1.076e+02    8.330e+01
   7.835e+01    8.564e+01
   3.222e+01    8.541e+01
   6.163e+00    8.302e+01
  -4.308e-01    8.133e+01
  -1.916e-01    8.026e+01
   1.058e+00    7.767e+01
   3.526e+00    7.626e+01
   3.422e+00    7.424e+01
   3.002e+00    7.146e+01
   8.995e-02    6.942e+01
   1.680e-01    6.800e+01
  -1.117e+00    6.687e+01
  -2.916e+00    6.597e+01
  -5.420e+00    6.483e+01
  -6.681e+00    6.380e+01
  -7.802e+00    6.308e+01
  -8.700e+00    6.268e+01
  -1.033e+01    6.199e+01
  -1.172e+01    6.180e+01
  -1.354e+01    6.157e+01
  -1.539e+01    6.109e+01
  -1.777e+01    6.029e+01
  -2.020e+01    5.926e+01
  -2.318e+01    5.769e+01
  -2.572e+01    5.616e+01
  -2.735e+01    5.390e+01
  -2.661e+01    5.257e+01
  -2.360e+01    5.093e+01
  -1.950e+01    4.861e+01
  -1.689e+01    4.623e+01
  -1.521e+01    4.412e+01
  -1.457e+01    4.151e+01
  -5.935e+00    3.688e+01
   7.238e+01    5.098e+01
   1.129e+02    7.017e+01
