           lon           lat
        33.129       -64.865
        37.716       -66.505
        44.072       -65.060
        54.062       -63.954
        64.155       -64.547
        72.938       -64.532
        87.660       -63.843
        96.124       -62.482
       102.316       -62.271
       108.502       -63.299
       116.247       -63.039
       121.823       -63.431
       128.712       -63.433
       134.484       -63.025
       140.741       -63.527
       148.237       -64.168
       151.692       -64.298
       157.835       -64.551
       161.083       -64.466
       166.477       -65.226
       169.878       -66.545
       172.931       -67.978
       175.775       -68.628
      -174.138       -70.711
      -161.769       -74.557
      -148.243       -73.241
      -136.920       -70.942
      -130.609       -68.895
      -115.205       -68.399
      -104.855       -69.743
       -93.946       -69.743
       -83.074       -68.271
       -67.516       -63.235
       -57.364       -60.265
       -51.156       -59.008
       -47.645       -58.886
       -43.204       -58.794
       -42.074       -59.955
       -40.952       -60.758
       -39.458       -61.785
       -38.226       -63.327
       -46.043       -66.380
       -48.853       -68.455
       -42.072       -70.687
       -26.621       -73.151
        -9.918       -68.549
        -2.126       -68.412
         7.137       -67.895
        10.653       -66.380
        15.062       -67.576
        25.127       -66.689
        31.848       -65.126
