           lon           lat
       -47.429        84.352
       -51.009        83.766
       -53.570        83.271
       -55.627        82.913
       -58.272        82.511
       -60.249        82.163
       -61.963        81.871
       -63.145        81.601
       -63.887        81.443
       -64.828        81.175
       -66.372        80.866
       -67.228        80.646
       -68.549        80.298
       -69.068        80.075
       -70.233        79.723
       -71.240        79.514
       -72.226        79.025
       -73.062        78.741
       -74.131        78.253
       -74.731        78.001
       -75.142        77.532
       -75.004        77.293
       -74.351        76.750
       -73.672        76.523
       -72.531        76.372
       -71.422        76.256
       -70.896        76.164
       -70.373        75.960
       -70.000        75.638
       -69.431        75.398
       -68.287        74.968
       -67.861        74.827
       -65.020        74.390
       -64.858        73.828
       -63.916        73.218
       -62.631        72.977
       -62.088        72.381
       -61.500        72.155
       -61.225        71.486
       -61.320        70.945
       -61.520        70.150
       -60.964        69.683
       -59.893        69.435
       -59.623        69.221
       -60.133        68.610
       -60.011        68.119
       -59.465        67.739
       -58.855        67.466
       -58.139        67.175
       -57.283        66.848
       -57.131        66.415
       -56.787        65.895
       -56.006        65.471
       -55.468        65.211
       -55.797        64.704
       -55.211        64.350
       -54.367        64.023
       -53.342        63.459
       -52.696        62.836
       -51.843        62.119
       -51.082        61.413
       -50.046        60.838
       -48.636        60.069
       -47.043        59.619
       -45.437        59.232
       -43.979        59.117
       -42.808        59.300
       -41.860        59.844
       -41.377        60.580
       -40.654        61.554
       -39.846        62.343
       -38.739        62.978
       -37.474        63.143
       -35.809        63.690
       -34.486        64.183
       -33.518        64.709
       -32.018        64.980
       -30.195        65.216
       -28.500        65.473
       -27.570        65.695
       -25.776        66.841
       -22.946        68.204
       -21.440        68.632
       -19.879        68.944
       -18.616        69.527
       -17.888        70.190
       -17.977        70.891
       -17.792        71.617
       -16.993        72.243
       -15.858        72.831
       -14.630        73.564
       -13.685        74.201
       -11.150        75.144
        -8.592        75.883
        -6.002        76.541
        -3.815        77.323
        -3.020        78.138
        -2.857        79.167
        -2.626        80.051
        -3.548        80.947
        -6.318        81.817
       -12.705        83.046
       -19.439        84.007
       -30.760        84.628
       -45.314        84.533
