           x            y
     1196650     -2307628
     1165012     -2307628
     1135454     -2282128
     1098187     -2271340
     1050453     -2256854
     1034356     -2211804
     1015079     -2178967
      973816     -2161030
      918250     -2155533
      876022     -2139435
      839015     -2167209
      807514     -2136211
      766387     -2148837
      737917     -2213871
      691160     -2229741
      660884     -2246274
      633788     -2302772
      603524     -2369645
      580956     -2407792
      587291     -2511904
      561160     -2559227
      530884     -2634613
      489880     -2681936
      458379     -2718452
      467053     -2801402
      497453     -2854015
      533086     -2892163
      549059     -2913531
      557720     -2966661
      557720     -3036468
      535858     -3186001
      521691     -3247583
      537924     -3328694
      616318     -3362936
      692917     -3340886
      766473     -3261904
      811572     -3162918
      843333     -3097223
      893802     -3018469
      959662     -2933969
     1031721     -2881128
     1121250     -2791999
     1203380     -2725354
