           x            y
      589729      -507176
      574461      -575227
      557126      -608064
      535264      -653548
      525365      -684339
      565923      -759436
      610626      -768405
      746343      -877744
      824440      -901633
      946262      -997147
     1081274     -1065115
     1165829     -1070405
     1202960     -1064888
     1256336      -951663
     1279423      -843502
     1279423      -687583
     1279423      -550243
     1261829      -421871
     1169702      -370435
     1032352      -355742
      862004      -352064
      754348      -374113
      627032      -445760
