           lon           lat
       -58.521       -87.772
       -58.195       -88.093
       -59.357       -88.305
       -62.354       -88.442
       -66.492       -88.603
       -69.522       -88.739
       -72.030       -88.824
       -73.182       -88.864
       -74.075       -88.911
       -74.924       -88.942
       -74.694       -88.988
       -73.746       -89.037
       -70.920       -89.066
       -69.801       -89.092
       -69.240       -89.107
       -68.198       -89.146
       -70.747       -89.174
       -71.486       -89.206
       -72.608       -89.224
       -74.710       -89.216
       -76.427       -89.203
       -79.048       -89.190
       -81.016       -89.191
       -83.093       -89.187
       -84.954       -89.188
       -86.788       -89.183
       -88.032       -89.181
       -91.944       -89.170
       -93.396       -89.154
       -93.769       -89.102
       -96.031       -89.078
       -96.674       -89.059
       -97.289       -89.038
       -98.075       -89.003
       -98.169       -88.966
       -98.455       -88.930
       -99.001       -88.871
       -99.652       -88.825
      -101.550       -88.773
      -102.409       -88.745
      -101.261       -88.591
       -97.348       -88.459
       -93.439       -88.253
       -88.305       -88.041
       -77.876       -87.806
       -73.396       -87.765
