           lon           lat
       -59.060        82.307
       -52.770        83.251
       -30.485        83.959
       -27.245        83.883
       -23.273        83.277
       -23.245        83.074
       -17.228        82.823
       -15.890        82.314
       -10.914        81.664
        -8.453        80.822
        -6.968        80.461
        -7.025        80.245
        -7.334        79.885
        -6.847        79.599
        -7.522        79.172
        -7.144        78.780
        -6.582        78.396
        -6.529        77.839
        -7.027        77.225
        -9.198        76.356
       -10.950        75.942
       -12.249        75.475
       -14.071        74.807
       -15.606        74.158
       -16.490        73.656
       -17.178        73.174
       -17.649        72.744
       -18.723        71.970
       -19.484        71.397
       -20.058        70.863
       -20.327        70.602
       -19.965        70.272
       -19.845        69.853
       -20.255        69.529
       -20.928        69.336
       -21.695        69.387
       -22.430        69.366
       -23.053        69.295
       -23.406        69.131
       -23.933        68.949
       -25.876        68.055
       -26.942        67.298
       -27.797        66.530
       -28.741        66.243
       -29.487        65.904
       -30.522        65.810
       -31.751        65.683
       -32.773        65.637
       -34.217        65.242
       -34.832        65.137
       -35.347        64.909
       -35.587        64.503
       -36.367        64.234
       -37.054        63.876
       -37.942        63.617
       -38.577        63.620
       -39.464        63.480
       -40.249        63.236
       -40.566        62.887
       -40.546        62.547
       -40.693        62.295
       -41.084        61.963
       -41.212        61.573
       -41.638        60.910
       -41.935        60.434
       -42.433        59.823
       -43.337        59.662
       -44.141        59.596
       -45.063        59.598
       -45.835        59.886
       -46.266        60.127
       -46.702        60.224
       -47.650        60.330
       -48.335        60.499
       -48.945        60.752
       -49.679        61.327
       -50.252        61.755
       -50.827        62.411
       -51.385        62.666
       -52.567        63.505
       -53.094        64.104
       -54.263        64.431
       -54.817        64.693
       -54.687        65.089
       -55.120        65.548
       -55.767        65.872
       -56.105        66.063
       -56.303        66.387
       -56.544        66.693
       -56.711        67.060
       -57.317        67.408
       -58.009        67.624
       -58.971        68.042
       -59.262        68.479
       -58.882        68.767
       -58.479        69.406
       -58.630        69.731
       -60.018        70.095
       -59.930        70.843
       -59.698        71.273
       -59.683        71.484
       -59.885        72.206
       -61.070        72.587
       -61.423        72.844
       -61.860        73.201
       -63.022        73.431
       -63.664        73.832
       -63.645        74.106
       -64.274        74.519
       -65.111        74.909
       -67.026        75.083
       -67.538        75.123
       -69.007        75.604
       -70.300        76.026
       -73.502        76.688
       -74.686        77.223
       -74.967        77.744
       -74.200        78.214
       -73.185        78.693
       -72.176        79.004
       -69.779        79.867
       -66.540        80.794
       -62.239        81.689
       -59.131        82.384
