           lon           lat
       -43.851       -89.589
       -45.494       -89.587
       -46.236       -89.585
       -48.549       -89.573
       -50.151       -89.560
       -50.982       -89.552
       -51.404       -89.544
       -51.839       -89.539
       -52.596       -89.530
       -53.269       -89.518
       -54.553       -89.510
       -55.484       -89.501
       -56.148       -89.485
       -56.910       -89.467
       -57.249       -89.455
       -57.911       -89.444
       -58.708       -89.438
       -59.870       -89.422
       -60.318       -89.410
       -60.286       -89.400
       -60.053       -89.390
       -59.871       -89.382
       -59.859       -89.375
       -60.974       -89.360
       -61.520       -89.345
       -61.500       -89.327
       -61.057       -89.310
       -61.033       -89.289
       -61.765       -89.272
       -62.298       -89.265
       -62.364       -89.250
       -64.206       -89.226
       -65.186       -89.198
       -65.026       -89.175
       -66.424       -89.158
       -67.455       -89.151
       -68.296       -89.142
       -69.409       -89.105
       -69.991       -89.089
       -71.105       -89.060
       -73.754       -89.043
       -74.992       -88.986
       -75.035       -88.939
       -74.205       -88.911
       -73.285       -88.860
       -72.193       -88.817
       -69.688       -88.732
       -66.609       -88.597
       -62.548       -88.436
       -59.464       -88.300
       -58.159       -88.076
       -58.086       -87.797
       -57.577       -87.693
       -50.350       -87.699
       -41.374       -87.677
       -33.895       -87.568
       -26.661       -87.552
       -21.170       -87.812
       -18.569       -88.022
       -14.212       -88.084
       -13.019       -88.172
       -10.184       -88.269
        -7.816       -88.372
        -5.276       -88.506
        -3.340       -88.704
        -2.961       -88.851
        -4.030       -88.956
        -5.604       -89.029
        -7.837       -89.080
       -10.787       -89.132
       -13.303       -89.176
       -14.518       -89.209
       -15.766       -89.247
       -16.675       -89.275
       -18.750       -89.323
       -18.530       -89.343
       -18.625       -89.364
       -19.489       -89.383
       -20.695       -89.395
       -21.904       -89.397
       -22.669       -89.401
       -23.795       -89.413
       -24.794       -89.426
       -25.497       -89.432
       -25.647       -89.447
       -25.755       -89.453
       -26.633       -89.461
       -27.100       -89.470
       -27.714       -89.476
       -28.710       -89.483
       -30.041       -89.487
       -31.786       -89.490
       -33.397       -89.498
       -34.726       -89.509
       -36.234       -89.519
       -37.452       -89.525
       -38.864       -89.529
       -39.942       -89.536
       -40.040       -89.547
       -40.270       -89.551
       -40.651       -89.555
       -41.186       -89.570
       -41.718       -89.579
       -42.371       -89.586
       -43.102       -89.589
       -44.157       -89.589
