           lon           lat
       -28.500        65.473
       -27.570        65.695
       -25.776        66.841
       -22.946        68.204
       -21.440        68.632
       -19.879        68.944
       -18.897        68.933
       -16.487        68.857
       -14.575        68.520
       -12.397        67.846
       -10.832        66.822
        -9.778        66.166
       -11.271        64.325
       -12.634        63.337
       -14.392        62.864
       -17.161        62.746
       -21.923        62.287
       -24.802        61.184
       -27.325        60.107
       -29.148        59.191
       -30.735        59.241
       -31.255        59.866
       -29.396        61.674
       -28.348        62.574
       -28.255        63.624
       -28.324        64.754
