           lon           lat
        10.304        82.850
         5.962        82.528
         3.497        82.420
         0.318        82.236
        -1.487        82.072
        -2.307        81.299
        -0.527        80.985
         1.374        79.425
         3.439        78.790
         4.500        77.397
         6.431        76.097
         8.443        75.508
         9.484        75.292
        13.856        75.568
        17.604        75.964
        22.746        76.690
        27.729        77.233
        32.514        77.799
        33.427        78.742
        31.986        79.975
        28.784        81.445
        24.621        82.262
        15.591        82.928
