           lon           lat
        16.991       -69.037
        19.356       -69.704
        22.401       -69.859
        25.187       -69.812
        27.752       -69.583
        29.375       -69.115
        31.437       -68.664
        32.699       -67.686
        36.662       -68.203
        38.519       -68.275
        40.569       -67.619
        43.126       -67.375
        45.196       -66.928
        47.791       -66.308
        50.574       -65.892
        52.576       -65.321
        54.648       -65.528
        56.675       -65.671
        57.872       -65.932
        59.426       -66.506
        62.293       -66.666
        65.149       -66.680
        67.510       -66.941
        69.337       -66.834
        72.398       -66.711
        74.991       -66.960
        77.562       -66.633
        81.376       -65.847
        87.064       -65.993
        90.069       -65.820
        92.176       -65.338
        95.596       -64.477
        97.984       -64.220
       100.038       -64.166
       101.690       -64.741
       109.874       -65.472
       113.476       -65.225
       118.575       -65.565
       122.091       -66.160
       122.901       -65.604
       127.956       -65.309
       132.641       -64.834
       134.411       -65.113
       136.884       -65.678
       139.143       -65.951
       150.043       -66.349
       151.496       -67.102
       153.206       -67.452
       154.166       -67.050
       155.014       -67.170
       158.409       -69.093
       158.332       -69.134
       166.740       -70.567
       171.614       -72.210
       176.945       -73.159
       179.468       -73.080
      -178.564       -72.434
      -177.520       -72.128
      -177.401       -72.853
      -178.176       -73.707
      -177.973       -75.219
      -174.554       -75.834
      -161.619       -76.811
      -153.981       -76.838
      -140.289       -74.682
      -134.458       -74.197
      -131.308       -73.525
      -128.145       -73.347
      -120.296       -72.997
      -110.402       -71.549
      -102.665       -71.689
       -98.710       -71.544
       -94.625       -71.029
       -91.023       -71.035
       -87.036       -70.912
       -82.376       -70.205
       -76.007       -69.293
       -74.884       -68.512
       -72.946       -68.170
       -71.006       -67.103
       -69.253       -65.862
       -67.662       -65.482
       -66.536       -64.664
       -64.325       -63.943
       -62.734       -63.425
       -60.436       -62.669
       -58.452       -62.080
       -56.289       -61.705
       -54.057       -61.122
       -51.861       -61.375
       -53.274       -62.711
       -51.737       -63.408
       -51.994       -63.753
       -53.615       -64.192
       -53.960       -66.254
       -55.691       -70.532
       -54.163       -71.424
       -50.787       -72.317
       -46.195       -72.622
       -40.498       -74.047
       -34.030       -74.573
       -28.085       -74.833
       -23.889       -74.351
       -19.029       -73.149
       -14.232       -71.644
        -9.518       -70.637
        -5.478       -70.346
        -0.962       -69.913
         0.177       -70.203
         1.360       -69.653
         4.537       -69.794
         8.333       -69.393
        10.879       -69.526
        16.371       -69.064
